CustomerID,Age,Gender,ItemPurchased,Category,PurchaseAmountUSD,Location,Size,Color,Season,ReviewRating,SubscriptionStatus,ShippingType,DiscountApplied,PromoCodeUsed,PreviousPurchases,PaymentMethod,FrequencyofPurchases
1,55,"Male","Blouse","Clothing",53,"Kentucky","L","Gray","Winter",3.1,"Yes","Express","Yes","Yes",14,"Venmo","Fortnightly"
2,19,"Male","Sweater","Clothing",64,"Maine","L","Maroon","Winter",3.1,"Yes","Express","Yes","Yes",2,"Cash","Fortnightly"
6,46,"Male","Sneakers","Footwear",20,"Wyoming","M","White","Summer",2.9,"Yes","Standard","Yes","Yes",14,"Venmo","Weekly"
7,63,"Male","Shirt","Clothing",85,"Montana","M","Gray","Fall",3.2,"Yes","Free Shipping","Yes","Yes",49,"Cash","Quarterly"
8,27,"Male","Shorts","Clothing",34,"Louisiana","L","Charcoal","Winter",3.2,"Yes","Free Shipping","Yes","Yes",19,"Credit Card","Weekly"
10,57,"Male","Handbag","Accessories",31,"Missouri","M","Pink","Spring",4.8,"Yes","2-Day Shipping","Yes","Yes",4,"Cash","Quarterly"
12,30,"Male","Shorts","Clothing",68,"Hawaii","S","Olive","Winter",4.9,"Yes","Store Pickup","Yes","Yes",10,"Bank Transfer","Fortnightly"
13,61,"Male","Coat","Outerwear",72,"Delaware","M","Gold","Winter",4.5,"Yes","Express","Yes","Yes",37,"Venmo","Fortnightly"
14,65,"Male","Dress","Clothing",51,"New Hampshire","M","Violet","Spring",4.7,"Yes","Express","Yes","Yes",31,"PayPal","Weekly"
15,64,"Male","Coat","Outerwear",53,"New York","L","Teal","Winter",4.7,"Yes","Free Shipping","Yes","Yes",34,"Debit Card","Weekly"
16,64,"Male","Skirt","Clothing",81,"Rhode Island","M","Teal","Winter",2.8,"Yes","Store Pickup","Yes","Yes",8,"PayPal","Monthly"
18,53,"Male","Dress","Clothing",38,"Mississippi","XL","Lavender","Winter",4.7,"Yes","2-Day Shipping","Yes","Yes",36,"Venmo","Quarterly"
22,31,"Male","Pants","Clothing",62,"North Carolina","M","Charcoal","Winter",4.1,"Yes","Store Pickup","Yes","Yes",22,"Debit Card","Quarterly"
24,31,"Male","Pants","Clothing",88,"Oklahoma","XL","White","Winter",4.4,"Yes","Express","Yes","Yes",40,"Credit Card","Weekly"
26,18,"Male","Hoodie","Clothing",25,"Texas","M","Silver","Summer",3.6,"Yes","Express","Yes","Yes",14,"PayPal","Annually"
28,56,"Male","Shorts","Clothing",56,"Kentucky","L","Cyan","Summer",5,"Yes","Next Day Air","Yes","Yes",7,"Bank Transfer","Every 3 Months"
31,57,"Male","Jewelry","Accessories",31,"North Carolina","L","Black","Winter",4.7,"Yes","Standard","Yes","Yes",16,"Credit Card","Monthly"
40,70,"Male","Pants","Clothing",60,"Arizona","S","Turquoise","Summer",4.2,"Yes","Express","Yes","Yes",18,"Credit Card","Monthly"
41,69,"Male","Handbag","Accessories",76,"Louisiana","L","Beige","Winter",4.6,"Yes","Next Day Air","Yes","Yes",31,"Debit Card","Quarterly"
51,49,"Male","Blouse","Clothing",28,"Maryland","M","Red","Spring",3.7,"Yes","Store Pickup","Yes","Yes",39,"Debit Card","Bi-Weekly"
52,59,"Male","Skirt","Clothing",59,"Vermont","XL","Gray","Winter",4.7,"Yes","2-Day Shipping","Yes","Yes",7,"Credit Card","Quarterly"
53,42,"Male","T-shirt","Clothing",20,"Alaska","M","Green","Summer",2.6,"Yes","Free Shipping","Yes","Yes",26,"Credit Card","Weekly"
55,47,"Male","Coat","Outerwear",-821,"New Mexico","M","Brown","Summer",4.2,"Yes","Next Day Air","Yes","Yes",35,"Debit Card","Bi-Weekly"
56,40,"Male","Jacket","Outerwear",28,"South Carolina","M","Lavender","Winter",3,"Yes","2-Day Shipping","Yes","Yes",49,"Credit Card","Annually"
58,21,"Male","Coat","Outerwear",64,"West Virginia","M","White","Summer",4.4,"Yes","Store Pickup","Yes","Yes",17,"Debit Card","Fortnightly"
63,30,"Male","Sneakers","Footwear",21,"Mississippi","S","Magenta","Spring",3.8,"Yes","Free Shipping","Yes","Yes",31,"Credit Card","Fortnightly"
